motif	tf.gene	tf.ensg
MA0776.1	MYBL1	ENSG00000185697
MA0777.1	MYBL2	ENSG00000101057
MA0778.1	NFKB2	ENSG00000077150
MA0779.1	PAX1	ENSG00000125813
MA0780.1	PAX3	ENSG00000135903
MA0781.1	PAX9	ENSG00000198807
MA0782.1	PKNOX1	ENSG00000160199
MA0783.1	PKNOX2	ENSG00000165495
MA0784.1	POU1F1	ENSG00000064835
MA0785.1	POU2F1	ENSG00000143190
MA0786.1	POU3F1	ENSG00000185668
MA0787.1	POU3F2	ENSG00000184486
MA0788.1	POU3F3	ENSG00000198914
MA0789.1	POU3F4	ENSG00000196767
MA0790.1	POU4F1	ENSG00000152192
MA0791.1	POU4F3	ENSG00000091010
MA0792.1	POU5F1B	ENSG00000212993
MA0793.1	POU6F2	ENSG00000106536
MA0794.1	PROX1	ENSG00000117707
MA0795.1	SMAD3	ENSG00000166949
MA0796.1	TGIF1	ENSG00000177426
MA0797.1	TGIF2	ENSG00000118707
MA0798.1	RFX3	ENSG00000080298
MA0799.1	RFX4	ENSG00000111783
MA0800.1	EOMES	ENSG00000163508
MA0801.1	MGA	ENSG00000174197
MA0802.1	TBR1	ENSG00000136535
MA0803.1	TBX15	ENSG00000092607
MA0804.1	TBX19	ENSG00000143178
MA0805.1	TBX1	ENSG00000184058
MA0806.1	TBX4	ENSG00000121075
MA0807.1	TBX5	ENSG00000089225
MA0808.1	TEAD3	ENSG00000007866
MA0809.1	TEAD4	ENSG00000197905
MA0810.1	TFAP2A	ENSG00000137203
MA0811.1	TFAP2B	ENSG00000008196
MA0812.1	TFAP2B	ENSG00000008196
MA0813.1	TFAP2B	ENSG00000008196
MA0814.1	TFAP2C	ENSG00000087510
MA0815.1	TFAP2C	ENSG00000087510
MA0816.1	ASCL2	ENSG00000183734
MA0817.1	BHLHE23	ENSG00000125533
MA0818.1	BHLHE22	ENSG00000180828
MA0819.1	CLOCK	ENSG00000134852
MA0820.1	FIGLA	ENSG00000183733
MA0821.1	HES5	ENSG00000197921
MA0822.1	HES7	ENSG00000179111
MA0823.1	HEY1	ENSG00000164683
MA0824.1	ID4	ENSG00000172201
MA0825.1	MNT	ENSG00000070444
MA0826.1	OLIG1	ENSG00000184221
MA0827.1	OLIG3	ENSG00000177468
MA0828.1	SREBF2	ENSG00000198911
MA0829.1	SREBF1	ENSG00000072310
MA0830.1	TCF4	ENSG00000196628
MA0831.1	TFE3	ENSG00000068323
MA0832.1	TCF21	ENSG00000118526
MA0833.1	ATF4	ENSG00000128272
MA0834.1	ATF7	ENSG00000170653
MA0835.1	BATF3	ENSG00000123685
MA0836.1	CEBPD	ENSG00000221869
MA0837.1	CEBPE	ENSG00000092067
MA0838.1	CEBPG	ENSG00000153879
MA0839.1	CREB3L1	ENSG00000157613
MA0840.1	CREB5	ENSG00000146592
MA0841.1	NFE2	ENSG00000123405
MA0842.1	NRL	ENSG00000129535
MA0843.1	TEF	ENSG00000167074
MA0844.1	XBP1	ENSG00000100219
MA0845.1	FOXB1	ENSG00000171956
MA0846.1	FOXC2	ENSG00000176692
MA0847.1	FOXD2	ENSG00000186564
MA0848.1	FOXO4	ENSG00000184481
MA0849.1	FOXO6	ENSG00000204060
MA0850.1	FOXP3	ENSG00000049768
MA0851.1	FOXJ3	ENSG00000198815
MA0852.1	FOXK1	ENSG00000164916
