motif	tf.gene	tf.ensg
MA0851.1	FOXN3	ENSG00000053254
MA0851.1	FOXN4	ENSG00000139445
MA0851.1	FOXM1	ENSG00000111206
MA0851.1	FOXL1	ENSG00000176678
MA0851.1	FOXL2	ENSG00000183770
MA0851.1	FOXK1	ENSG00000164916
MA0851.1	FOXK2	ENSG00000141568
MA0851.1	FOXJ1	ENSG00000129654
MA0851.1	FOXJ2	ENSG00000065970
MA0851.1	FOXA1	ENSG00000129514
MA0851.1	FOXA2	ENSG00000125798
MA0851.1	FOXA3	ENSG00000170608
MA0852.1	FOXI1	ENSG00000168269
MA0852.1	FOXI2	ENSG00000186766
MA0852.1	FOXI3	ENSG00000214336
MA0852.1	FOXH1	ENSG00000160973
MA0852.1	FOXG1	ENSG00000176165
MA0852.1	FOXF1	ENSG00000103241
MA0852.1	FOXF2	ENSG00000137273
MA0852.1	FOXE1	ENSG00000178919
MA0852.1	FOXE3	ENSG00000186790
MA0852.1	FOXD1	ENSG00000251493
MA0852.1	FOXD4L6	ENSG00000273514
MA0852.1	FOXD2	ENSG00000186564
MA0852.1	FOXD3	ENSG00000187140
MA0852.1	FOXD4	ENSG00000170122
MA0852.1	FOXD4L1	ENSG00000184492
MA0852.1	FOXD4L3	ENSG00000187559
MA0852.1	FOXD4L4	ENSG00000184659
MA0852.1	FOXD4L5	ENSG00000204779
MA0852.1	FOXC1	ENSG00000054598
MA0852.1	FOXC2	ENSG00000176692
MA0852.1	FOXB1	ENSG00000171956
MA0852.1	FOXB2	ENSG00000204612
MA0852.1	FOXS1	ENSG00000179772
MA0852.1	FOXR1	ENSG00000176302
MA0852.1	FOXR2	ENSG00000189299
MA0852.1	FOXQ1	ENSG00000164379
MA0852.1	FOXP1	ENSG00000114861
MA0852.1	FOXP2	ENSG00000128573
MA0852.1	FOXP3	ENSG00000049768
MA0852.1	FOXP4	ENSG00000137166
MA0852.1	FOXO1	ENSG00000150907
MA0852.1	FOXO3	ENSG00000118689
MA0852.1	FOXO4	ENSG00000184481
MA0852.1	FOXO6	ENSG00000204060
MA0852.1	FOXN1	ENSG00000109101
MA0852.1	FOXN2	ENSG00000170802
MA0852.1	FOXN3	ENSG00000053254
MA0852.1	FOXN4	ENSG00000139445
MA0852.1	FOXM1	ENSG00000111206
MA0852.1	FOXL1	ENSG00000176678
MA0852.1	FOXL2	ENSG00000183770
MA0852.1	FOXK2	ENSG00000141568
MA0852.1	FOXJ1	ENSG00000129654
MA0852.1	FOXJ2	ENSG00000065970
MA0852.1	FOXJ3	ENSG00000198815
MA0852.1	FOXA1	ENSG00000129514
MA0852.1	FOXA2	ENSG00000125798
MA0852.1	FOXA3	ENSG00000170608
MA0853.1	HOPX	ENSG00000171476
MA0853.1	ISX	ENSG00000175329
MA0853.1	LEUTX	ENSG00000213921
MA0853.1	NOBOX	ENSG00000106410
MA0853.1	OTP	ENSG00000171540
MA0853.1	ARGFX	ENSG00000186103
MA0853.1	RAX	ENSG00000134438
MA0853.1	SEBOX	ENSG00000274529
MA0853.1	SHOX	ENSG00000185960
MA0853.1	UNCX	ENSG00000164853
MA0853.1	ARX	ENSG00000004848
MA0853.1	DPRX	ENSG00000204595
MA0853.1	DRGX	ENSG00000165606
MA0853.1	GSC	ENSG00000133937
MA0853.1	GSC2	ENSG00000063515
MA0853.1	ESX1	ENSG00000123576
MA0853.1	DUXA	ENSG00000258873
MA0853.1	DUX4	ENSG00000260596
MA0853.1	VSX1	ENSG00000100987
MA0853.1	VSX2	ENSG00000119614
MA0853.1	TPRX1	ENSG00000178928
MA0853.1	SHOX2	ENSG00000168779
MA0853.1	RHOXF1	ENSG00000101883
MA0853.1	RHOXF2	ENSG00000131721
MA0853.1	RHOXF2B	ENSG00000203989
MA0853.1	RAX2	ENSG00000173976
MA0853.1	PRRX1	ENSG00000116132
MA0853.1	PRRX2	ENSG00000167157
MA0853.1	PROP1	ENSG00000175325
MA0853.1	PITX1	ENSG00000069011
MA0853.1	PITX2	ENSG00000164093
MA0853.1	PITX3	ENSG00000107859
MA0853.1	PHOX2A	ENSG00000165462
MA0853.1	PHOX2B	ENSG00000109132
MA0853.1	OTX1	ENSG00000115507
MA0853.1	OTX2	ENSG00000165588
MA0853.1	CRX	ENSG00000105392
MA0853.1	MIXL1	ENSG00000185155
MA0853.1	HESX1	ENSG00000163666
MA0853.1	ALX1	ENSG00000180318
MA0853.1	ALX3	ENSG00000156150
MA0853.1	ELF3	ENSG00000163435
MA0854.1	HOPX	ENSG00000171476
MA0854.1	ISX	ENSG00000175329
MA0854.1	LEUTX	ENSG00000213921
MA0854.1	NOBOX	ENSG00000106410
MA0854.1	OTP	ENSG00000171540
MA0854.1	ARGFX	ENSG00000186103
MA0854.1	RAX	ENSG00000134438
MA0854.1	SEBOX	ENSG00000274529
MA0854.1	SHOX	ENSG00000185960
MA0854.1	UNCX	ENSG00000164853
MA0854.1	ARX	ENSG00000004848
MA0854.1	DPRX	ENSG00000204595
MA0854.1	DRGX	ENSG00000165606
MA0854.1	GSC	ENSG00000133937
MA0854.1	GSC2	ENSG00000063515
MA0854.1	ESX1	ENSG00000123576
MA0854.1	DUXA	ENSG00000258873
MA0854.1	DUX4	ENSG00000260596
MA0854.1	VSX1	ENSG00000100987
MA0854.1	VSX2	ENSG00000119614
MA0854.1	TPRX1	ENSG00000178928
MA0854.1	SHOX2	ENSG00000168779
MA0854.1	RHOXF1	ENSG00000101883
MA0854.1	RHOXF2	ENSG00000131721
MA0854.1	RHOXF2B	ENSG00000203989
MA0854.1	RAX2	ENSG00000173976
MA0854.1	PRRX1	ENSG00000116132
MA0854.1	PRRX2	ENSG00000167157
MA0854.1	PROP1	ENSG00000175325
MA0854.1	PITX1	ENSG00000069011
MA0854.1	PITX2	ENSG00000164093
MA0854.1	PITX3	ENSG00000107859
MA0854.1	PHOX2A	ENSG00000165462
MA0854.1	PHOX2B	ENSG00000109132
MA0854.1	OTX1	ENSG00000115507
MA0854.1	OTX2	ENSG00000165588
MA0854.1	CRX	ENSG00000105392
MA0854.1	MIXL1	ENSG00000185155
MA0854.1	HESX1	ENSG00000163666
MA0854.1	ALX3	ENSG00000156150
MA0854.1	ALX4	ENSG00000052850
MA0854.1	ELF3	ENSG00000163435
MA0861.1	TP53	ENSG00000141510
MA0861.1	TP63	ENSG00000073282
MA0862.1	GMEB1	ENSG00000162419
MA0864.1	E2F1	ENSG00000101412
MA0864.1	E2F3	ENSG00000112242
MA0864.1	E2F4	ENSG00000205250
MA0864.1	E2F5	ENSG00000133740
MA0864.1	E2F6	ENSG00000169016
MA0864.1	E2F7	ENSG00000165891
MA0864.1	E2F8	ENSG00000129173
MA0865.1	E2F1	ENSG00000101412
MA0865.1	E2F2	ENSG00000007968
MA0865.1	E2F3	ENSG00000112242
MA0865.1	E2F4	ENSG00000205250
MA0865.1	E2F5	ENSG00000133740
MA0865.1	E2F6	ENSG00000169016
MA0865.1	E2F7	ENSG00000165891
MA0866.1	SOX30	ENSG00000039600
MA0866.1	SOX15	ENSG00000129194
MA0866.1	SOX7	ENSG00000171056
MA0866.1	SOX17	ENSG00000164736
MA0866.1	SOX18	ENSG00000203883
MA0866.1	SOX8	ENSG00000005513
MA0866.1	SOX9	ENSG00000125398
MA0866.1	SOX10	ENSG00000100146
MA0866.1	SOX5	ENSG00000134532
MA0866.1	SOX6	ENSG00000110693
MA0866.1	SOX13	ENSG00000143842
MA0866.1	SOX4	ENSG00000124766
MA0866.1	SOX11	ENSG00000176887
MA0866.1	SOX12	ENSG00000177732
MA0866.1	SOX1	ENSG00000182968
MA0866.1	SOX2	ENSG00000181449
MA0866.1	SOX3	ENSG00000134595
MA0866.1	SOX14	ENSG00000168875
MA0866.1	SRY	ENSG00000184895
MA0867.1	SOX30	ENSG00000039600
MA0867.1	SOX15	ENSG00000129194
MA0867.1	SOX7	ENSG00000171056
MA0867.1	SOX17	ENSG00000164736
MA0867.1	SOX18	ENSG00000203883
MA0867.1	SOX8	ENSG00000005513
MA0867.1	SOX9	ENSG00000125398
MA0867.1	SOX10	ENSG00000100146
MA0867.1	SOX5	ENSG00000134532
MA0867.1	SOX6	ENSG00000110693
MA0867.1	SOX13	ENSG00000143842
MA0867.1	SOX11	ENSG00000176887
MA0867.1	SOX12	ENSG00000177732
MA0867.1	SOX1	ENSG00000182968
MA0867.1	SOX2	ENSG00000181449
MA0867.1	SOX3	ENSG00000134595
MA0867.1	SOX14	ENSG00000168875
MA0867.1	SOX21	ENSG00000125285
MA0867.1	SRY	ENSG00000184895
MA0868.1	SOX30	ENSG00000039600
MA0868.1	SOX15	ENSG00000129194
MA0868.1	SOX7	ENSG00000171056
MA0868.1	SOX17	ENSG00000164736
MA0868.1	SOX18	ENSG00000203883
MA0868.1	SOX9	ENSG00000125398
MA0868.1	SOX10	ENSG00000100146
MA0868.1	SOX5	ENSG00000134532
MA0868.1	SOX6	ENSG00000110693
MA0868.1	SOX13	ENSG00000143842
MA0868.1	SOX4	ENSG00000124766
MA0868.1	SOX11	ENSG00000176887
MA0868.1	SOX12	ENSG00000177732
MA0868.1	SOX1	ENSG00000182968
MA0868.1	SOX2	ENSG00000181449
MA0868.1	SOX3	ENSG00000134595
MA0868.1	SOX14	ENSG00000168875
MA0868.1	SOX21	ENSG00000125285
MA0868.1	SRY	ENSG00000184895
MA0869.1	SOX30	ENSG00000039600
MA0869.1	SOX15	ENSG00000129194
MA0869.1	SOX7	ENSG00000171056
MA0869.1	SOX17	ENSG00000164736
MA0869.1	SOX18	ENSG00000203883
MA0869.1	SOX8	ENSG00000005513
MA0869.1	SOX9	ENSG00000125398
MA0869.1	SOX10	ENSG00000100146
MA0869.1	SOX5	ENSG00000134532
MA0869.1	SOX6	ENSG00000110693
MA0869.1	SOX13	ENSG00000143842
MA0869.1	SOX4	ENSG00000124766
MA0869.1	SOX12	ENSG00000177732
MA0869.1	SOX1	ENSG00000182968
MA0869.1	SOX2	ENSG00000181449
MA0869.1	SOX3	ENSG00000134595
MA0869.1	SOX14	ENSG00000168875
MA0869.1	SOX21	ENSG00000125285
MA0869.1	SRY	ENSG00000184895
MA0870.1	SOX30	ENSG00000039600
MA0870.1	SOX15	ENSG00000129194
MA0870.1	SOX7	ENSG00000171056
MA0870.1	SOX17	ENSG00000164736
MA0870.1	SOX18	ENSG00000203883
MA0870.1	SOX8	ENSG00000005513
MA0870.1	SOX9	ENSG00000125398
MA0870.1	SOX10	ENSG00000100146
MA0870.1	SOX5	ENSG00000134532
MA0870.1	SOX6	ENSG00000110693
MA0870.1	SOX13	ENSG00000143842
MA0870.1	SOX4	ENSG00000124766
MA0870.1	SOX11	ENSG00000176887
MA0870.1	SOX12	ENSG00000177732
MA0870.1	SOX2	ENSG00000181449
MA0870.1	SOX3	ENSG00000134595
MA0870.1	SOX14	ENSG00000168875
MA0870.1	SOX21	ENSG00000125285
MA0870.1	SRY	ENSG00000184895
MA0871.1	MXI1	ENSG00000119950
MA0871.1	MNT	ENSG00000070444
MA0871.1	MLX	ENSG00000108788
MA0871.1	MAX	ENSG00000125952
MA0871.1	USF1	ENSG00000158773
MA0871.1	USF2	ENSG00000105698
MA0871.1	TFE3	ENSG00000068323
MA0871.1	TFEB	ENSG00000112561
MA0871.1	MITF	ENSG00000187098
MA0871.1	MYCN	ENSG00000134323
MA0872.1	TFAP2B	ENSG00000008196
MA0872.1	TFAP2C	ENSG00000087510
MA0872.1	TFAP2D	ENSG00000008197
MA0872.1	TFAP2E	ENSG00000116819
MA0873.1	CDX1	ENSG00000113722
MA0873.1	CDX2	ENSG00000165556
MA0873.1	CDX4	ENSG00000131264
MA0873.1	HOXA9	ENSG00000078399
MA0873.1	HOXD11	ENSG00000128713
MA0873.1	HOXC12	ENSG00000123407
MA0873.1	HOXA13	ENSG00000106031
MA0873.1	HOXB13	ENSG00000159184
MA0873.1	HOXC13	ENSG00000123364
MA0873.1	HOXD13	ENSG00000128714
MA0873.1	HOXB9	ENSG00000170689
MA0873.1	HOXC9	ENSG00000180806
MA0873.1	HOXD9	ENSG00000128709
MA0873.1	HOXA10	ENSG00000253293
MA0873.1	HOXC10	ENSG00000180818
MA0873.1	HOXD10	ENSG00000128710
MA0873.1	HOXA11	ENSG00000005073
MA0873.1	HOXC11	ENSG00000123388
MA0873.1	HOXB8	ENSG00000120068
MA0873.1	HOXC8	ENSG00000037965
MA0873.1	HOXD8	ENSG00000175879
MA0873.1	HOXA6	ENSG00000106006
MA0873.1	HOXB6	ENSG00000108511
MA0873.1	HOXC6	ENSG00000197757
MA0873.1	HOXA7	ENSG00000122592
MA0873.1	HOXB7	ENSG00000260027
MA0873.1	HOXA5	ENSG00000106004
MA0873.1	HOXB5	ENSG00000120075
MA0873.1	HOXC5	ENSG00000172789
MA0873.1	HOXA4	ENSG00000197576
MA0873.1	HOXB4	ENSG00000182742
MA0873.1	HOXC4	ENSG00000198353
MA0873.1	HOXD4	ENSG00000170166
MA0873.1	HOXA3	ENSG00000105997
MA0873.1	HOXB3	ENSG00000120093
MA0873.1	HOXD3	ENSG00000128652
MA0873.1	HOXA2	ENSG00000105996
MA0873.1	HOXB2	ENSG00000173917
MA0873.1	PDX1	ENSG00000139515
MA0873.1	MEOX1	ENSG00000005102
MA0873.1	MEOX2	ENSG00000106511
MA0873.1	MNX1	ENSG00000130675
MA0873.1	GSX1	ENSG00000169840
MA0873.1	GSX2	ENSG00000180613
MA0873.1	GBX1	ENSG00000164900
MA0873.1	GBX2	ENSG00000168505
MA0873.1	EVX1	ENSG00000106038
MA0873.1	EVX2	ENSG00000174279
MA0873.1	HOXA1	ENSG00000105991
MA0873.1	HOXB1	ENSG00000120094
MA0873.1	HOXD1	ENSG00000128645
MA0874.1	HOPX	ENSG00000171476
MA0874.1	ISX	ENSG00000175329
MA0874.1	LEUTX	ENSG00000213921
MA0874.1	NOBOX	ENSG00000106410
MA0874.1	OTP	ENSG00000171540
MA0874.1	ARGFX	ENSG00000186103
MA0874.1	RAX	ENSG00000134438
MA0874.1	SEBOX	ENSG00000274529
MA0874.1	SHOX	ENSG00000185960
MA0874.1	UNCX	ENSG00000164853
MA0874.1	DPRX	ENSG00000204595
MA0874.1	DRGX	ENSG00000165606
MA0874.1	GSC	ENSG00000133937
MA0874.1	GSC2	ENSG00000063515
MA0874.1	ESX1	ENSG00000123576
MA0874.1	DUXA	ENSG00000258873
MA0874.1	DUX4	ENSG00000260596
MA0874.1	VSX1	ENSG00000100987
MA0874.1	VSX2	ENSG00000119614
MA0874.1	TPRX1	ENSG00000178928
MA0874.1	SHOX2	ENSG00000168779
MA0874.1	RHOXF1	ENSG00000101883
MA0874.1	RHOXF2	ENSG00000131721
MA0874.1	RHOXF2B	ENSG00000203989
MA0874.1	RAX2	ENSG00000173976
MA0874.1	PRRX1	ENSG00000116132
MA0874.1	PRRX2	ENSG00000167157
MA0874.1	PROP1	ENSG00000175325
MA0874.1	PITX1	ENSG00000069011
MA0874.1	PITX2	ENSG00000164093
MA0874.1	PITX3	ENSG00000107859
MA0874.1	PHOX2A	ENSG00000165462
MA0874.1	PHOX2B	ENSG00000109132
MA0874.1	OTX1	ENSG00000115507
MA0874.1	OTX2	ENSG00000165588
MA0874.1	CRX	ENSG00000105392
MA0874.1	MIXL1	ENSG00000185155
MA0874.1	HESX1	ENSG00000163666
MA0874.1	ALX1	ENSG00000180318
MA0874.1	ALX3	ENSG00000156150
MA0874.1	ALX4	ENSG00000052850
MA0874.1	ELF3	ENSG00000163435
MA0875.1	NANOG	ENSG00000111704
MA0875.1	NOTO	ENSG00000214513
MA0875.1	VENTX	ENSG00000151650
MA0875.1	BSX	ENSG00000188909
MA0875.1	HHEX	ENSG00000152804
MA0875.1	HLX	ENSG00000136630
MA0875.1	EN1	ENSG00000163064
MA0875.1	EN2	ENSG00000164778
MA0875.1	EMX1	ENSG00000135638
MA0875.1	EMX2	ENSG00000170370
MA0875.1	DLX1	ENSG00000144355
MA0875.1	DLX2	ENSG00000115844
MA0875.1	DLX3	ENSG00000064195
MA0875.1	DLX4	ENSG00000108813
MA0875.1	DLX5	ENSG00000105880
MA0875.1	DLX6	ENSG00000006377
MA0875.1	DBX1	ENSG00000109851
MA0875.1	DBX2	ENSG00000185610
MA0875.1	VAX1	ENSG00000148704
MA0875.1	VAX2	ENSG00000116035
MA0875.1	TLX1	ENSG00000107807
MA0875.1	TLX2	ENSG00000115297
MA0875.1	TLX3	ENSG00000164438
MA0875.1	BARX2	ENSG00000043039
MA0875.1	HMX1	ENSG00000215612
MA0875.1	HMX2	ENSG00000188816
MA0875.1	HMX3	ENSG00000188620
MA0875.1	MSX1	ENSG00000163132
MA0875.1	MSX2	ENSG00000120149
MA0875.1	LBX1	ENSG00000138136
MA0875.1	LBX2	ENSG00000179528
MA0875.1	BARHL1	ENSG00000125492
MA0875.1	BARHL2	ENSG00000143032
MA0875.1	NR2E1	ENSG00000112333
MA0876.1	NANOG	ENSG00000111704
MA0876.1	NOTO	ENSG00000214513
MA0876.1	VENTX	ENSG00000151650
MA0876.1	HHEX	ENSG00000152804
MA0876.1	HLX	ENSG00000136630
MA0876.1	EN1	ENSG00000163064
MA0876.1	EN2	ENSG00000164778
MA0876.1	EMX1	ENSG00000135638
MA0876.1	EMX2	ENSG00000170370
MA0876.1	DLX1	ENSG00000144355
MA0876.1	DLX2	ENSG00000115844
MA0876.1	DLX3	ENSG00000064195
MA0876.1	DLX4	ENSG00000108813
MA0876.1	DLX5	ENSG00000105880
MA0876.1	DLX6	ENSG00000006377
MA0876.1	DBX1	ENSG00000109851
MA0876.1	DBX2	ENSG00000185610
MA0876.1	VAX1	ENSG00000148704
MA0876.1	VAX2	ENSG00000116035
MA0876.1	TLX1	ENSG00000107807
MA0876.1	TLX2	ENSG00000115297
MA0876.1	TLX3	ENSG00000164438
MA0876.1	BARX1	ENSG00000131668
MA0876.1	BARX2	ENSG00000043039
MA0876.1	HMX1	ENSG00000215612
MA0876.1	HMX2	ENSG00000188816
MA0876.1	HMX3	ENSG00000188620
MA0876.1	MSX1	ENSG00000163132
MA0876.1	MSX2	ENSG00000120149
MA0876.1	LBX1	ENSG00000138136
MA0876.1	LBX2	ENSG00000179528
MA0876.1	BARHL1	ENSG00000125492
MA0876.1	BARHL2	ENSG00000143032
MA0876.1	NR2E1	ENSG00000112333
MA0877.1	NANOG	ENSG00000111704
MA0877.1	NOTO	ENSG00000214513
MA0877.1	VENTX	ENSG00000151650
MA0877.1	BSX	ENSG00000188909
MA0877.1	HHEX	ENSG00000152804
MA0877.1	HLX	ENSG00000136630
MA0877.1	EN1	ENSG00000163064
MA0877.1	EN2	ENSG00000164778
MA0877.1	EMX1	ENSG00000135638
MA0877.1	EMX2	ENSG00000170370
MA0877.1	DLX1	ENSG00000144355
MA0877.1	DLX2	ENSG00000115844
MA0877.1	DLX3	ENSG00000064195
MA0877.1	DLX4	ENSG00000108813
MA0877.1	DLX5	ENSG00000105880
MA0877.1	DLX6	ENSG00000006377
MA0877.1	DBX1	ENSG00000109851
MA0877.1	DBX2	ENSG00000185610
MA0877.1	VAX1	ENSG00000148704
MA0877.1	VAX2	ENSG00000116035
MA0877.1	TLX1	ENSG00000107807
MA0877.1	TLX2	ENSG00000115297
MA0877.1	TLX3	ENSG00000164438
MA0877.1	BARX1	ENSG00000131668
MA0877.1	BARX2	ENSG00000043039
MA0877.1	HMX1	ENSG00000215612
MA0877.1	HMX2	ENSG00000188816
MA0877.1	HMX3	ENSG00000188620
MA0877.1	MSX1	ENSG00000163132
MA0877.1	MSX2	ENSG00000120149
MA0877.1	LBX1	ENSG00000138136
MA0877.1	LBX2	ENSG00000179528
MA0877.1	BARHL2	ENSG00000143032
MA0877.1	NR2E1	ENSG00000112333
MA0878.1	CDX2	ENSG00000165556
MA0878.1	CDX4	ENSG00000131264
MA0878.1	HOXA9	ENSG00000078399
MA0878.1	HOXD11	ENSG00000128713
MA0878.1	HOXC12	ENSG00000123407
MA0878.1	HOXD12	ENSG00000170178
MA0878.1	HOXA13	ENSG00000106031
MA0878.1	HOXB13	ENSG00000159184
MA0878.1	HOXC13	ENSG00000123364
MA0878.1	HOXD13	ENSG00000128714
MA0878.1	HOXB9	ENSG00000170689
MA0878.1	HOXC9	ENSG00000180806
MA0878.1	HOXD9	ENSG00000128709
MA0878.1	HOXA10	ENSG00000253293
MA0878.1	HOXC10	ENSG00000180818
MA0878.1	HOXD10	ENSG00000128710
MA0878.1	HOXA11	ENSG00000005073
MA0878.1	HOXC11	ENSG00000123388
MA0878.1	HOXB8	ENSG00000120068
MA0878.1	HOXC8	ENSG00000037965
MA0878.1	HOXD8	ENSG00000175879
MA0878.1	HOXA6	ENSG00000106006
MA0878.1	HOXB6	ENSG00000108511
MA0878.1	HOXC6	ENSG00000197757
MA0878.1	HOXA7	ENSG00000122592
MA0878.1	HOXB7	ENSG00000260027
MA0878.1	HOXA5	ENSG00000106004
MA0878.1	HOXB5	ENSG00000120075
MA0878.1	HOXC5	ENSG00000172789
MA0878.1	HOXA4	ENSG00000197576
MA0878.1	HOXB4	ENSG00000182742
MA0878.1	HOXC4	ENSG00000198353
MA0878.1	HOXD4	ENSG00000170166
MA0878.1	HOXA3	ENSG00000105997
MA0878.1	HOXB3	ENSG00000120093
MA0878.1	HOXD3	ENSG00000128652
MA0878.1	HOXA2	ENSG00000105996
MA0878.1	HOXB2	ENSG00000173917
MA0878.1	PDX1	ENSG00000139515
MA0878.1	MEOX1	ENSG00000005102
MA0878.1	MEOX2	ENSG00000106511
MA0878.1	MNX1	ENSG00000130675
MA0878.1	GSX1	ENSG00000169840
MA0878.1	GSX2	ENSG00000180613
MA0878.1	GBX1	ENSG00000164900
MA0878.1	GBX2	ENSG00000168505
MA0878.1	EVX1	ENSG00000106038
MA0878.1	EVX2	ENSG00000174279
MA0878.1	HOXA1	ENSG00000105991
MA0878.1	HOXB1	ENSG00000120094
MA0878.1	HOXD1	ENSG00000128645
MA0879.1	NANOG	ENSG00000111704
MA0879.1	NOTO	ENSG00000214513
MA0879.1	VENTX	ENSG00000151650
MA0879.1	BSX	ENSG00000188909
MA0879.1	HHEX	ENSG00000152804
MA0879.1	HLX	ENSG00000136630
MA0879.1	EN1	ENSG00000163064
MA0879.1	EN2	ENSG00000164778
MA0879.1	EMX1	ENSG00000135638
MA0879.1	EMX2	ENSG00000170370
MA0879.1	DLX2	ENSG00000115844
MA0879.1	DLX3	ENSG00000064195
MA0879.1	DLX4	ENSG00000108813
MA0879.1	DLX5	ENSG00000105880
MA0879.1	DLX6	ENSG00000006377
MA0879.1	DBX1	ENSG00000109851
MA0879.1	DBX2	ENSG00000185610
MA0879.1	VAX1	ENSG00000148704
MA0879.1	VAX2	ENSG00000116035
MA0879.1	TLX1	ENSG00000107807
MA0879.1	TLX2	ENSG00000115297
MA0879.1	TLX3	ENSG00000164438
MA0879.1	BARX1	ENSG00000131668
MA0879.1	BARX2	ENSG00000043039
MA0879.1	HMX1	ENSG00000215612
MA0879.1	HMX2	ENSG00000188816
MA0879.1	HMX3	ENSG00000188620
MA0879.1	MSX1	ENSG00000163132
MA0879.1	MSX2	ENSG00000120149
MA0879.1	LBX1	ENSG00000138136
MA0879.1	LBX2	ENSG00000179528
MA0879.1	BARHL1	ENSG00000125492
MA0879.1	BARHL2	ENSG00000143032
MA0879.1	NR2E1	ENSG00000112333
MA0880.1	NANOG	ENSG00000111704
MA0880.1	NOTO	ENSG00000214513
MA0880.1	VENTX	ENSG00000151650
MA0880.1	BSX	ENSG00000188909
MA0880.1	HHEX	ENSG00000152804
MA0880.1	HLX	ENSG00000136630
MA0880.1	EN1	ENSG00000163064
MA0880.1	EN2	ENSG00000164778
MA0880.1	EMX1	ENSG00000135638
MA0880.1	EMX2	ENSG00000170370
MA0880.1	DLX1	ENSG00000144355
MA0880.1	DLX2	ENSG00000115844
MA0880.1	DLX4	ENSG00000108813
MA0880.1	DLX5	ENSG00000105880
MA0880.1	DLX6	ENSG00000006377
MA0880.1	DBX1	ENSG00000109851
MA0880.1	DBX2	ENSG00000185610
MA0880.1	VAX1	ENSG00000148704
MA0880.1	VAX2	ENSG00000116035
MA0880.1	TLX1	ENSG00000107807
MA0880.1	TLX2	ENSG00000115297
MA0880.1	TLX3	ENSG00000164438
MA0880.1	BARX1	ENSG00000131668
MA0880.1	BARX2	ENSG00000043039
MA0880.1	HMX1	ENSG00000215612
MA0880.1	HMX2	ENSG00000188816
MA0880.1	HMX3	ENSG00000188620
MA0880.1	MSX1	ENSG00000163132
MA0880.1	MSX2	ENSG00000120149
MA0880.1	LBX1	ENSG00000138136
MA0880.1	LBX2	ENSG00000179528
MA0880.1	BARHL1	ENSG00000125492
MA0880.1	BARHL2	ENSG00000143032
MA0880.1	NR2E1	ENSG00000112333
MA0881.1	NANOG	ENSG00000111704
MA0881.1	NOTO	ENSG00000214513
MA0881.1	VENTX	ENSG00000151650
MA0881.1	BSX	ENSG00000188909
MA0881.1	HHEX	ENSG00000152804
MA0881.1	HLX	ENSG00000136630
MA0881.1	EN1	ENSG00000163064
MA0881.1	EN2	ENSG00000164778
MA0881.1	EMX1	ENSG00000135638
MA0881.1	EMX2	ENSG00000170370
MA0881.1	DLX1	ENSG00000144355
MA0881.1	DLX2	ENSG00000115844
MA0881.1	DLX3	ENSG00000064195
MA0881.1	DLX5	ENSG00000105880
MA0881.1	DLX6	ENSG00000006377
MA0881.1	DBX1	ENSG00000109851
MA0881.1	DBX2	ENSG00000185610
MA0881.1	VAX1	ENSG00000148704
MA0881.1	VAX2	ENSG00000116035
MA0881.1	TLX1	ENSG00000107807
MA0881.1	TLX2	ENSG00000115297
MA0881.1	TLX3	ENSG00000164438
MA0881.1	BARX1	ENSG00000131668
MA0881.1	BARX2	ENSG00000043039
MA0881.1	HMX1	ENSG00000215612
MA0881.1	HMX2	ENSG00000188816
MA0881.1	HMX3	ENSG00000188620
MA0881.1	MSX1	ENSG00000163132
MA0881.1	MSX2	ENSG00000120149
MA0881.1	LBX1	ENSG00000138136
MA0881.1	LBX2	ENSG00000179528
MA0881.1	BARHL1	ENSG00000125492
MA0881.1	BARHL2	ENSG00000143032
MA0881.1	NR2E1	ENSG00000112333
MA0882.1	NANOG	ENSG00000111704
MA0882.1	NOTO	ENSG00000214513
MA0882.1	VENTX	ENSG00000151650
MA0882.1	BSX	ENSG00000188909
MA0882.1	HHEX	ENSG00000152804
MA0882.1	HLX	ENSG00000136630
MA0882.1	EN1	ENSG00000163064
MA0882.1	EN2	ENSG00000164778
MA0882.1	EMX1	ENSG00000135638
MA0882.1	EMX2	ENSG00000170370
MA0882.1	DLX1	ENSG00000144355
MA0882.1	DLX2	ENSG00000115844
MA0882.1	DLX3	ENSG00000064195
MA0882.1	DLX4	ENSG00000108813
MA0882.1	DLX5	ENSG00000105880
MA0882.1	DBX1	ENSG00000109851
MA0882.1	DBX2	ENSG00000185610
MA0882.1	VAX1	ENSG00000148704
MA0882.1	VAX2	ENSG00000116035
MA0882.1	TLX1	ENSG00000107807
MA0882.1	TLX2	ENSG00000115297
MA0882.1	TLX3	ENSG00000164438
MA0882.1	BARX1	ENSG00000131668
MA0882.1	BARX2	ENSG00000043039
MA0882.1	HMX1	ENSG00000215612
MA0882.1	HMX2	ENSG00000188816
MA0882.1	HMX3	ENSG00000188620
MA0882.1	MSX1	ENSG00000163132
MA0882.1	MSX2	ENSG00000120149
MA0882.1	LBX1	ENSG00000138136
MA0882.1	LBX2	ENSG00000179528
MA0882.1	BARHL1	ENSG00000125492
MA0882.1	BARHL2	ENSG00000143032
MA0882.1	NR2E1	ENSG00000112333
MA0884.1	HOPX	ENSG00000171476
MA0884.1	ISX	ENSG00000175329
MA0884.1	LEUTX	ENSG00000213921
MA0884.1	NOBOX	ENSG00000106410
